Country,Clicks,Impressions,CTR,Position
United Kingdom,5,318,1.57%,76.09
United States,1,183,0.55%,33.18
Pakistan,1,13,7.69%,10.46
Ukraine,1,3,33.33%,34
Austria,1,2,50%,1
Kazakhstan,1,1,100%,1
India,0,32,0%,31.88
Philippines,0,21,0%,11.95
Brazil,0,15,0%,41
Indonesia,0,12,0%,4.83
Canada,0,11,0%,52.36
Russia,0,11,0%,70.82
Italy,0,10,0%,62.8
New Zealand,0,10,0%,79.1
Poland,0,9,0%,21.56
Turkey,0,9,0%,32.22
Argentina,0,9,0%,48.56
France,0,9,0%,58.33
Greece,0,9,0%,87.78
Egypt,0,8,0%,12.25
Sweden,0,8,0%,58.25
Australia,0,7,0%,53.71
Finland,0,7,0%,68.43
Germany,0,6,0%,70.33
South Africa,0,5,0%,12.6
Vietnam,0,5,0%,46
Bangladesh,0,4,0%,6
Spain,0,4,0%,48.25
United Arab Emirates,0,4,0%,50.25
Peru,0,3,0%,4.67
Togo,0,3,0%,24.33
Colombia,0,3,0%,32
Laos,0,2,0%,3.5
Côte d’Ivoire,0,2,0%,6
Ghana,0,2,0%,6
Saudi Arabia,0,2,0%,6.5
Kenya,0,2,0%,7.5
Puerto Rico,0,2,0%,11
South Korea,0,2,0%,26.5
Hungary,0,2,0%,36.5
Romania,0,2,0%,38.5
Honduras,0,2,0%,45.5
Singapore,0,2,0%,50
Chile,0,2,0%,53
Thailand,0,2,0%,60
Netherlands,0,2,0%,71.5
Serbia,0,2,0%,75
Ireland,0,1,0%,1
Morocco,0,1,0%,2
Uruguay,0,1,0%,2
Malaysia,0,1,0%,3
Syria,0,1,0%,3
Gabon,0,1,0%,4
Georgia,0,1,0%,4
Mexico,0,1,0%,4
Slovenia,0,1,0%,4
Nepal,0,1,0%,5
Dominican Republic,0,1,0%,6
Latvia,0,1,0%,6
Montenegro,0,1,0%,6
Tunisia,0,1,0%,7
Ecuador,0,1,0%,8
Bosnia & Herzegovina,0,1,0%,9
Ethiopia,0,1,0%,9
Malta,0,1,0%,10
Sri Lanka,0,1,0%,11
Rwanda,0,1,0%,11
Norway,0,1,0%,47
Unknown Region,0,1,0%,58
Cape Verde,0,1,0%,59
Iran,0,1,0%,59
Barbados,0,1,0%,61
Portugal,0,1,0%,85
Uzbekistan,0,1,0%,86
Seychelles,0,1,0%,89
Lithuania,0,1,0%,91
Japan,0,1,0%,92
Switzerland,0,1,0%,94
Panama,0,1,0%,94
Denmark,0,1,0%,96